Geneid,log2FoldChange,padj
Tbc1d23,-0.432359329,1.48E-09
Otub1,0.840241978,1.48E-09
Cox6a2,1.465162434,1.48E-09
Mgat4a,-0.952299482,1.52E-09
Eprs,0.403141965,1.61E-09
Irgm1,-1.016566051,1.65E-09
Mars,0.288103597,1.69E-09
Spdl1,-0.391633944,1.69E-09
Lars,0.40428561,1.69E-09
Phgdh,0.757607005,1.69E-09
Gramd1b,-0.914796646,1.69E-09
Plp2,0.484846166,1.69E-09
Sppl2b,0.54040658,1.72E-09
Ssrp1,0.539676006,1.72E-09
Cdc20,0.354634679,1.72E-09
Tmem161a,0.417755679,1.79E-09
Tma16,0.486030584,1.84E-09
D5Ertd579e,-0.85447204,1.86E-09
Clstn3,0.412325917,2.11E-09
Dpagt1,0.325488898,2.13E-09
Zbtb6,-1.223621043,2.19E-09
Lrrc20,-0.677456894,2.28E-09
Tor4a,-0.970264603,2.28E-09
Strap,0.450752747,2.28E-09
Entpd7,-0.790732891,2.30E-09
Pik3ca,-0.903592161,2.30E-09
Cxxc1,0.408753016,2.37E-09
Eno1,0.709015942,2.39E-09
Arc,-1.232983458,2.52E-09
Tnrc6a,-0.800210809,2.52E-09
Plekhm1,-1.193475652,2.54E-09
Zfp770,-1.235716015,2.63E-09
Larp4b,-0.801976049,2.64E-09
Cage1,-1.673844257,2.69E-09
Mthfd2,0.41810438,2.69E-09
Eif2ak3,-1.032577361,2.82E-09
Ctu1,-1.203015783,2.84E-09
Rnf145,-0.576096098,2.86E-09
Snx14,-0.454422652,2.95E-09
A530017D24Rik,-0.860803827,3.10E-09
Spry1,-0.742795064,3.16E-09
Mkrn2,0.382321645,3.16E-09
Cbx7,-0.66057235,3.18E-09
Fbxo28,-0.394046958,3.24E-09
Mmp9,-0.633567489,3.25E-09
Ciart,0.911993013,3.25E-09
Gm16433,0.555237361,3.25E-09
Vasp,0.302637126,3.25E-09
Ero1lb,-0.852520508,3.25E-09
Prmt7,0.541195243,3.41E-09
Twf1,-0.830671909,3.54E-09
Car14,-1.28085581,3.59E-09
Thop1,0.549702962,3.65E-09
Nprl3,0.484270913,3.65E-09
Krt8,0.642595045,3.65E-09
Nfu1,0.749173461,3.65E-09
Ccne1,0.437932105,3.67E-09
Serpinf1,0.569211121,3.76E-09
Mgarp,0.644154942,3.89E-09
Elovl1,0.534157063,3.91E-09
Dusp6,-1.559721246,3.92E-09
Ppp1ca,0.599008508,3.92E-09
Bsg,0.741951542,3.93E-09
Gm29170,1.499239633,3.94E-09
Smyd2,0.363855886,3.94E-09
Zfp944,-0.843655818,3.94E-09
Gng5,0.721063716,3.94E-09
Nat10,0.414947906,4.01E-09
Gadd45g,1.433493398,4.08E-09
Zbtb7a,-0.738295772,4.15E-09
Tsr2,0.707307961,4.22E-09
Arv1,0.569201949,4.36E-09
Xbp1,-0.314183767,4.37E-09
Pold2,0.672881554,4.37E-09
Pdik1l,-1.148525328,4.37E-09
Fam114a1,-0.634297256,4.37E-09
Usp39,0.319128039,4.37E-09
Ogg1,0.607979516,4.37E-09
4933433G15Rik,-1.612824476,4.38E-09
Vps72,0.548503067,4.72E-09
Foxa3,-1.565959317,4.76E-09
Fpgt,-1.010469024,4.80E-09
Aoc2,-0.869102477,4.85E-09
Prmt1,0.621346696,4.98E-09
Mybbp1a,0.493321137,5.26E-09
Rassf3,-0.590039744,5.48E-09
Cep97,-0.979538282,5.48E-09
Snord104,1.457925185,5.49E-09
2610034B18Rik,0.493912934,5.55E-09
Mif,0.945840398,5.58E-09
