Geneid,log2FoldChange,padj
RP23-60D3.4,-0.914278688,0.002471844
Alg5,0.366052131,0.002478469
Gins4,0.274702853,0.002488604
Zfat,-0.403754125,0.0024917
Zscan25,-0.390670719,0.002493911
Mrgpre,-0.419478813,0.002494897
Ccdc141,-0.460526118,0.002496215
Gm5430,0.747313976,0.002496977
Ankrd34a,-0.587709898,0.002500728
Rpap3,0.23573996,0.00250736
Zfp35,-0.391007899,0.002510887
Ubtf,0.187813598,0.002514608
Thnsl1,-0.333110674,0.002514608
Mgat4b,0.300975809,0.002527039
Arf1,0.222713067,0.002527039
Tomm7,0.542012021,0.002529751
Zufsp,-0.454483892,0.00253644
Zfp773,-0.91151167,0.002538675
Rasa1,-0.522287625,0.00253943
Ctage5,0.275241292,0.002550525
Gabpa,-0.44363821,0.002552176
Peli1,-0.411350166,0.002559584
Cfap126,0.749114044,0.002560399
Psmc6,0.222551952,0.002561099
Pyurf,0.398377907,0.002561099
Gm10358,0.960154592,0.002561099
Mthfs,0.822485784,0.002565105
Cep57l1,-0.211891817,0.002568298
Cdk5rap1,0.320266444,0.002568722
Rpl9-ps6,0.753282583,0.002570246
Lyrm9,0.394971676,0.002572643
Cldn12,-0.398812525,0.002572643
Tcta,0.310850468,0.002573624
A930005H10Rik,0.687006192,0.002575641
Gga3,-0.346056751,0.002576053
Bri3bp,0.317678833,0.002576053
Vps16,0.182798676,0.002593768
Znf512b,-0.504126841,0.002596019
Cmtm4,-0.419158382,0.002596325
Spink2,0.781989552,0.002596794
Scp2,0.229970194,0.002596954
Uxs1,0.243000232,0.00260312
Dennd6b,0.587168754,0.002608893
Nkd1,0.772654565,0.002608893
Ccdc171,-0.493311756,0.002609261
Klhdc2,0.199570633,0.002619564
Zhx1,-0.516321788,0.002625934
Oxa1l,0.261049335,0.002642704
Prss36,0.507656524,0.002646388
Akt3,-0.338822872,0.002647947
Tlr6,-0.891207369,0.002649081
Cdc42bpa,-0.433755298,0.002649506
Smad1,-0.280494439,0.002659756
Gm11914,0.524036534,0.002670198
Pex7,-0.229271744,0.002687607
Chaf1b,0.2595008,0.002688227
Sssca1,0.492385451,0.002692292
Tbccd1,-0.227984006,0.002695232
Tsen34,0.373125368,0.002697154
Fth1,0.364541793,0.002701654
Pald1,0.22869301,0.002703745
Traf4,0.215088578,0.00270543
Sdsl,0.676238584,0.002711372
Reps1,0.220541497,0.00271435
D2hgdh,-0.297720477,0.002715319
Bcap29,0.240388023,0.002715319
Ccdc134,0.322199163,0.002722158
Tnxb,-0.410434402,0.002722542
Uevld,-0.466401457,0.002722542
Gemin7,0.380364159,0.002725534
Qsox1,0.231183724,0.002726623
Maoa,0.221254294,0.002727697
Serf1,0.584307509,0.002731638
Zfp59,-0.751369966,0.002732027
Lgmn,0.259983414,0.00273466
Hoxc9,0.597452016,0.002737376
Mterf1b,-0.738636865,0.002742487
Taf6l,0.329402002,0.002746138
Mta2,0.105956728,0.002748611
2900041M22Rik,0.523027969,0.002750264
Erdr1,0.766115785,0.002750264
C730034F03Rik,0.780494841,0.002760239
Slfn3,-0.722467739,0.002775236
Gbp2,-0.513484085,0.002775727
Gadd45a,0.402823653,0.002775727
Ndufc2,0.481716325,0.002775727
Slc39a10,-0.586403101,0.002781549
Necab3,-0.67777543,0.002783086
Gm13496,0.700990802,0.002788538
Stat2,-0.396001776,0.002797058
Reep3,-0.270158646,0.002797556
Apol7a,-0.45594643,0.002801451
Cx3cr1,0.854933104,0.002801451
Slc44a3,-0.191050498,0.002804795
Ubxn4,0.24562605,0.002807815
Gpn3,0.156402759,0.002810121
Ebp,0.393949991,0.002812474
Setdb2,-0.411843727,0.002815091
Actl10,-1.06692894,0.00282063
Esx1,0.254193053,0.002829288
Triobp,-0.160333995,0.002830168
Prr13,0.378421489,0.002832748
Atp5f1,0.279936378,0.002832748
Spata2l,-0.716355726,0.002832748
Cnnm2,0.299897354,0.002833377
Hmg20b,0.389346736,0.002835447
Glyr1,-0.255693368,0.002854692
Gm26809,-0.460774537,0.002854692
Stk16,0.309947277,0.002855055
Lbr,-0.612797493,0.002855061
Lbhd1,-0.642821682,0.002855061
Man2a1,-0.633697852,0.002855961
Ric1,-0.524337102,0.002859285
Rpusd2,-0.434248311,0.002859388
Rab24,0.489638435,0.002860539
Gpr137,0.339534966,0.00286269
Slc38a1,-0.185355842,0.00286361
Pop5,0.483340677,0.002871702
Hspb1,-0.923228693,0.002871702
Vcp,0.222374623,0.00287205
Mboat1,0.474981202,0.002872933
Gen1,-0.544555357,0.002877417
Camk2g,-0.158056094,0.002879316
Gm12774,0.945073949,0.002881258
Cdh23,-0.782233117,0.002883834
Psma1,0.272198285,0.00289061
Ppil2,0.273726648,0.002895854
Gm13464,0.852591261,0.002896622
Mpp5,-0.444858708,0.002899874
Rbm39,0.434076153,0.002904595
Gm26767,-0.648538888,0.002916279
Nr1h3,0.302069261,0.002917642
Macrod1,0.451462742,0.002919812
Dynlt1f,0.391857787,0.002925133
Grpel1,0.340457165,0.002925918
Foxs1,-0.354603265,0.002927639
Fchsd2,-0.346282629,0.002933628
Mzt2,0.418340486,0.002953681
Gm2467,0.926644462,0.002954552
Gm20544,-0.623733549,0.002959713
Il6st,-0.554185108,0.002962401
Ahdc1,-0.441355424,0.002962401
Rps15-ps2,0.683302618,0.002975554
Gpr157,-0.450171068,0.002977489
Wbp2,0.210324903,0.002978013
Pds5b,-0.479987321,0.002986166
Scand1,0.646735012,0.002986477
Orc6,0.288188601,0.002987913
Madd,-0.36454545,0.002990583
Cdc73,-0.409999652,0.00299747
Prkcd,-0.319328563,0.002997831
Gm22980,0.908968799,0.00299958
Med23,-0.448371085,0.003001105
Cdc42ep1,-0.334768522,0.003001105
Ttpal,-0.430847628,0.00300179
Creld2,0.392852233,0.003010045
Rhot2,0.282882966,0.003014038
BC029214,0.485385675,0.003014528
Ing2,0.343414198,0.003015468
Esyt1,0.177375999,0.003016182
Zfp345,-0.698491214,0.003018353
Eif5b,0.506515648,0.00302712
Rtcb,0.255092875,0.003031884
Tlr5,-0.473099173,0.003041874
Sae1,0.245370175,0.003053978
Smarcb1,0.371697591,0.003057643
Ikbkg,-0.315911978,0.00305885
Yap1,-0.296147968,0.003065136
Rps26-ps1,0.592744327,0.003073407
Dlx1as,-0.827170089,0.003078609
Tarbp2,0.425955568,0.003079924
Tbc1d25,-0.374805232,0.003082842
Htatip2,0.355885792,0.003088898
Hdac10,0.294433587,0.003091289
Nrp2,-0.472231987,0.003101884
Dbi,0.486207876,0.003103804
Atg14,-0.354357689,0.003108023
Zfp882,-0.849527108,0.003112814
Csrp2bp,0.129220982,0.003116791
Exosc8,0.231955136,0.003120653
Mrpl52,0.57195717,0.003121824
Gnl1,0.466810459,0.003122318
Map1lc3b,0.234986821,0.003122318
Tfap2a,-0.298469844,0.003124585
Map3k14,0.296167902,0.003135637
Bvht,0.537953927,0.003144456
Gm10275,0.565010643,0.003147856
Urgcp,-0.377823257,0.003150646
Akr1b10,0.250890406,0.003159805
Kat6a,-0.650111153,0.003167669
Mapk4,-0.638794923,0.003172763
Slc12a7,-0.415445654,0.003176684
Mfsd9,-0.719257474,0.003184872
Gm10110,0.568022311,0.003187233
Gstt2,0.524680083,0.003192199
Rufy1,0.204739316,0.003198878
Dusp8,0.437492502,0.003209345
Steap2,-0.436124096,0.003210421
Iba57,-0.45232433,0.003228227
Rdh14,-0.331459058,0.003230993
Gltscr1,-0.496480993,0.003230993
Snord7,0.897531854,0.003239676
Tmed2,0.372853812,0.003259268
6720427I07Rik,-0.764493309,0.003260279
Fstl1,0.196665745,0.003262003
Gm17296,-0.598473876,0.003263892
RP23-245J24.1,0.818946023,0.00326952
Gm3837,0.607997849,0.003272309
Lrp6,-0.584774037,0.003272928
Btbd7,-0.484118866,0.003273865
Gm29340,0.80031158,0.003273865
Zbtb44,-0.437755771,0.003273865
Dedd2,0.433780957,0.003277084
Dhfr,0.268380297,0.003279325
Gm11249,0.760451846,0.003281669
Dusp11,-0.394938007,0.003288663
Dynll1,0.404928353,0.003297861
Ninl,-0.247384844,0.003330326
Bhlhe40,-0.246817476,0.003331446
Bckdhb,0.238237071,0.003331446
5330438D12Rik,-0.595446128,0.003331722
Lmod1,-1.029723057,0.00334033
Jmjd1c,-0.629322913,0.00334059
Srsf11,0.345706324,0.003356022
Grn,0.280190598,0.003364391
Oxct1,0.186043589,0.00337456
Slc39a3,0.286157844,0.003376144
Mms22l,0.242586742,0.003397593
A630033H20Rik,-0.802875326,0.003423516
Gm7609,-0.741737403,0.003426089
Fam160a1,-0.301792756,0.003427193
Gm5113,-0.644193534,0.003429608
Ctps,0.103778687,0.003431965
Hist1h2bm,0.835484084,0.003434322
Xpa,0.407264806,0.003434322
Pttg1ip,0.182080013,0.003435231
1700003F12Rik,0.670900453,0.003443461
Mlh3,-0.553446563,0.003449052
Trappc3,0.253707387,0.003449052
Gm36401,-0.728858618,0.003449052
Gabarapl1,0.278582143,0.0034515
Fars2,0.303315006,0.00346075
Rhod,0.412279988,0.003470672
Snord73a,0.875956154,0.003487145
Taok1,-0.577184147,0.003509412
Lrrc8e,-0.243477358,0.003511108
Tnfrsf10b,-0.195759373,0.003512671
Bclaf1,-0.23326922,0.00352251
Pkmyt1,0.224056767,0.003524087
Galnt3,-0.395142551,0.003527082
Rbms1,-0.25800897,0.003540049
P2rx4,-0.426435142,0.003541691
Dnajb9,-0.276730262,0.00354651
Dck,-0.39512889,0.003549996
Eef2k,0.239931264,0.003552936
Samd14,0.263096749,0.003557115
Aldh18a1,0.257679036,0.003557115
Rps11-ps1,0.721499894,0.003557115
Kiss1r,0.393357905,0.003568886
Dcaf17,-0.278366842,0.003569845
Ebf4,-0.609629144,0.003569845
Fzd5,-0.478176296,0.003571699
Dnajb11,0.275192827,0.003571699
AU022252,-0.195342196,0.003572878
Zfp771,0.472140257,0.003572878
Fbxo48,-0.736045024,0.003574528
Coq10a,0.330690718,0.003582179
Cdr2,-0.306852894,0.003588687
Nlrc5,-0.603252303,0.003599986
Mrpl47,0.384590926,0.00360078
Trak1,-0.456418287,0.00360078
Hars2,-0.207715506,0.003601294
Lipe,-0.343201133,0.00360356
Ece2,0.35865664,0.003607339
Cers2,0.219329944,0.003607339
Lrp8,-0.422643959,0.003607339
B230354K17Rik,-0.434953214,0.003629052
Itpk1,0.199300489,0.00363271
Dqx1,-0.691923744,0.00363271
1-Sep,0.674981145,0.003635537
Atp11a,-0.457300608,0.003637561
Abhd17a,0.310855252,0.003638162
Pstpip1,0.32656375,0.003644742
Tubgcp5,-0.451187523,0.003661989
Pzp,-0.549708327,0.003664063
Gm6254,0.855243199,0.003664601
Cfap69,0.403662019,0.003666212
Pi4k2a,0.212935044,0.003675828
Gm17494,0.608598498,0.003676598
Slc25a37,-0.394339711,0.003681492
Rpl10a-ps1,0.681545115,0.003683339
Maz,0.223647584,0.003683339
Rnf24,-0.597555298,0.003692884
Gm561,0.514869923,0.003700356
Ptp4a2,0.230871141,0.003701261
Arl6ip5,0.269241828,0.00370192
Rala,0.359032714,0.003702604
Cox7a1,0.758898372,0.003707284
RP23-4F17.1,0.394452964,0.003707942
Dus3l,0.214158145,0.003708436
Insr,-0.506969822,0.003708436
Arhgap44,-0.735168875,0.003709268
Fam160a2,0.230253541,0.003709268
Fus,0.418060045,0.003709268
Arntl2,0.303572963,0.003713114
Gm9531,0.488501005,0.003717166
Bcl2,-0.386719993,0.003720694
Ubxn2b,-0.339595875,0.003720694
Rpl22-ps1,0.747875567,0.003720694
Cped1,-0.437386404,0.003725793
Mrps18a,0.392111812,0.003731974
Gpalpp1,-0.405962713,0.003735461
Gyk,-0.370457487,0.003743147
Gm3222,0.682175499,0.003745985
Gm12992,-0.480125874,0.003755083
Aff1,-0.539650856,0.003755959
Sdhc,0.342391351,0.003762184
Mmp28,-0.397044307,0.00376343
9130401M01Rik,0.464186638,0.003765002
Nat14,0.376420515,0.003787056
Gm16540,0.906441824,0.003795108
Eif3j1,0.395875454,0.003795991
Hipk1,-0.484800718,0.003796245
Snora31,0.858509159,0.003800482
Rassf5,-0.372142399,0.003804988
Ranbp10,-0.388966141,0.003806933
Slc25a1,0.315313513,0.003809515
Adamts8,0.309992232,0.00381334
Ubl7,0.236471956,0.003822379
Stk24,-0.254053606,0.003829554
Gm7808,0.785602497,0.003831496
Med26,-0.230528975,0.003835206
Dffb,-0.667047029,0.003837862
Phlda3,0.341582401,0.003839493
Ranbp9,-0.311983279,0.003848119
Fam122b,-0.378572452,0.003848119
Proser3,-0.425039131,0.003854254
Lrif1,-0.471247588,0.003861099
Ccrl2,-0.651796975,0.003868947
Slc23a2,-0.565533493,0.003870236
Smarce1-ps1,0.650056558,0.003872751
Sema4g,-0.347690642,0.003890475
Rab4a,0.311423578,0.003893104
Cda,0.484319703,0.003893756
Cxcl2,-0.789373346,0.003900595
Cdc42se1,0.244712897,0.00390295
Ccdc53,0.368758302,0.003913449
Zfp710,-0.254294204,0.003913449
Fam69a,-0.33776455,0.003918197
Mrpl22,0.349022659,0.003923732
Chmp3,0.260146208,0.003924774
Icmt,-0.23364606,0.003935797
Btn2a2,-0.5683153,0.003942057
Mir142b,-0.917876864,0.003963935
Ddi2,-0.453599542,0.004005407
Tjp2,-0.361742239,0.004008754
Snrpd1,0.47297122,0.004014883
Psmg3,0.551593085,0.004017241
Smim11,0.459483746,0.004027104
Rasa2,-0.439784138,0.004028831
Tbc1d8b,-0.496672886,0.004028831
Rpsa-ps2,0.825170628,0.004041212
Mettl10,0.291702621,0.004041212
Inpp1,-0.296944288,0.004042834
Sfr1,0.253788167,0.004051597
Zfp954,-0.272503237,0.004055186
Recql5,-0.225440434,0.004056682
1700006J14Rik,-0.758427378,0.004061521
Chchd4,0.337416998,0.004067933
Gm11198,0.924966997,0.004070598
Gm4944,-0.302496677,0.004079771
H2-Ke6,0.720680817,0.004079771
Sesn2,-0.399424966,0.004079771
Tmem110,0.244371673,0.00408091
Med18,-0.268757071,0.004081079
Efr3a,-0.271169958,0.004082787
Kpna1,-0.332811076,0.004108411
Eif2b4,0.31219364,0.004111883
Ssx2ip,-0.297141781,0.004113812
Ptges3l,0.650581151,0.004114164
Hist1h4j,0.761313058,0.004114164
Epb4.1l4aos,0.59614614,0.004114164
Mir143hg,0.826175118,0.004114164
Itgb3bp,0.474049337,0.004114164
Sdhd,0.306827877,0.004114164
Ankrd52,-0.652232456,0.004121072
Srp9,0.415977116,0.004131203
Gm11942,0.796548816,0.004147812
Akr1e1,0.28150176,0.004164848
Slc25a40,-0.523074577,0.004165977
Ppp2r3d,0.369102662,0.004165977
Rer1,0.297166108,0.004180278
Mxi1,-0.174685772,0.004183152
Bicd1,-0.543232806,0.004197223
Sema4d,-0.58389575,0.004206527
Prpf38a,0.299770746,0.004220745
Lrrfip2,0.263113578,0.004220975
Fancc,0.25419164,0.004225962
Tst,0.387899855,0.004229183
Fyttd1,-0.266823732,0.004237771
Zfp507,-0.743876008,0.004240641
Pif1,-0.249602836,0.004245588
Phf20l1,-0.377316997,0.004263216
Hypk,-0.76000553,0.004267019
St3gal2,-0.310650156,0.00428007
Gcc2,-0.40096174,0.004290426
Gm11185,0.7928568,0.004305321
Brca1,-0.483291955,0.004312285
Kcnab1,0.710161717,0.004318565
Dcaf12,-0.129089409,0.004324662
Lnx2,-0.32325064,0.004326261
Aamp,0.370878878,0.004329246
Ywhae,0.227498038,0.004329246
Dip2a,-0.547433611,0.004357093
Btbd2,0.201055181,0.00435901
Eif4enif1,-0.270983444,0.00435901
Ddx39b,0.226071226,0.00435901
Uggt2,-0.50798508,0.004371413
2810417H13Rik,0.336956624,0.004371413
Arl8a,0.179220816,0.004390193
Kcnab2,0.148255221,0.004390193
Snora33,0.875773132,0.004391573
D10Wsu102e,0.276248215,0.004393307
Rhoq,-0.372422624,0.004395904
Mrps23,0.384400781,0.0044152
Mtf1,-0.215084064,0.0044152
Shprh,-0.594763169,0.004415505
Mr1,-0.317543272,0.004437597
Slc7a6os,0.283022569,0.004438094
Wrb,-0.264753797,0.004441017
Mgst1,0.278113969,0.004444099
Serac1,-0.459670217,0.004444101
Prkx,-0.265432527,0.004474029
Phtf2,-0.427767052,0.004474108
Dusp12,0.46085379,0.004486917
Sdhaf3,0.268987938,0.004495969
Ppfia1,-0.45472402,0.004495969
Nexn,0.458785628,0.004496995
Bcas2,0.314391451,0.004497879
Gm12184,0.607920047,0.004499065
Rps24-ps3,0.648457156,0.004503654
Hopx,0.49580092,0.00450406
Fzr1,0.189394675,0.004505638
Tardbp,0.198787046,0.004505654
Gm28229,-0.875864123,0.00450823
Dctn4,-0.253825816,0.004508864
Xrn1,-0.493394599,0.004509892
Sema6d,-0.740076002,0.004510777
Pecr,0.374602176,0.004527941
Tle3,-0.290720829,0.004536257
Tyw5,0.393529048,0.004536554
Bmi1,-0.360519712,0.004536554
Dnal1,-0.33220712,0.004537855
Gm14111,0.810624918,0.004543512
Zcchc7,-0.274354816,0.004545961
Gpatch4,0.493374376,0.004546655
Zfp109,-0.784369152,0.004553367
Pde12,-0.42883044,0.004555427
Pdp2,-0.546764684,0.004568386
Gm7129,0.864121226,0.004570771
Scoc,-0.293257188,0.004571691
Gm29237,-0.82377636,0.004573029
Cenpk,-0.470483857,0.004577765
Zfyve16,-0.507026789,0.004586449
Gm10069,-0.445214848,0.004599997
Depdc1b,-0.28822885,0.004601547
Rnf2,-0.257385162,0.004605565
Rgp1,-0.178164883,0.004605565
Ap4s1,0.499250715,0.004619783
Nupl1,-0.61506024,0.004621526
Ip6k2,0.503300298,0.004648628
Zfp119b,-0.65939451,0.004651076
C230037L18Rik,-0.687557103,0.004652457
Ell2,-0.365826055,0.004653519
Tefm,-0.584588837,0.004662285
Ndufb3,0.517316833,0.004668677
Wdr70,0.242344429,0.004680837
Ndufa6,0.39468144,0.004686929
Por,0.205476964,0.00469084
Pdzd8,-0.510541501,0.004699787
Tmx4,-0.395391996,0.00471682
Ak1,0.308416607,0.004728576
Tmem67,-0.493045667,0.004732843
Hmbox1,-0.356358945,0.004735067
Atxn1l,-0.544304834,0.004738056
Atraid,0.351242575,0.004738888
Gpc4,-0.769150999,0.004738888
Mbd1,-0.369245538,0.00474078
Cfap74,-0.547414793,0.004740846
Bin1,0.36807373,0.004754782
Phf7,0.335583096,0.00475866
Gp1ba,-0.759631334,0.004759689
Mrps30,0.396394181,0.004768224
Mrpl17,0.393180726,0.004796587
Ate1,-0.348861074,0.004796587
Hacd2,0.231068325,0.004799274
Gm13544,-0.469782832,0.004802212
Phf11d,-0.416240259,0.004805708
Als2,-0.441272373,0.004810994
Tmx1,-0.159080082,0.004813308
Zmym6,-0.560127427,0.004816348
Slc25a27,-0.595323158,0.004817143
Sfpq,-0.189484155,0.004827601
Slc25a45,0.299650024,0.004831768
Rffl,-0.295578685,0.004832725
Taok2,-0.456145016,0.004833604
Gm8349,0.700337904,0.004834878
Ryk,0.193457926,0.004839642
Tmc8,-0.783675529,0.004842323
Snord100,0.861358805,0.004842662
Gm10073,0.644375202,0.0048566
Ext2,0.137156967,0.004857613
Hist1h2ab,0.7330203,0.004869779
Uchl5,0.223387989,0.004872877
Mkrn1,0.255508511,0.004873086
Enpp2,-0.584122049,0.004875652
Zfp629,-0.435504103,0.004877883
Gm5879,0.767044035,0.004882764
Apol9b,-0.534916752,0.004883291
Pced1b,-0.346495122,0.004883291
Pten,-0.423725747,0.004889612
Fam118a,-0.198329593,0.004889844
Gm22579,0.754078136,0.004906852
Tspan17,0.389831092,0.004933225
Mlph,-0.301596777,0.004937017
Gm5619,0.812399343,0.004937017
Col20a1,-0.8185724,0.004937528
Gm28424,-0.887510781,0.004937528
Pycr1,0.227032815,0.004939293
Rbck1,0.166765034,0.004939879
Gm26518,-0.888608328,0.004947881
Fundc2,0.291557936,0.004954518
Calm1,0.246473786,0.004955519
B2m,0.283148375,0.004975874
Hiatl1,-0.394466295,0.004993119
Usp7,-0.226805181,0.004998485
AW146154,-0.775417587,0.005000584
Stox2,-0.779656561,0.005000584
Hsd17b7,-0.448969384,0.005005899
Swap70,-0.163741522,0.005014386
Fut8,-0.366674205,0.005017926
Mpst,0.354332995,0.005022861
Plxna1,-0.579587379,0.005023848
Trmt6,0.234211873,0.005033642
Spag9,-0.498836633,0.00503635
Ik,0.192607883,0.005039928
Ggt7,0.231073014,0.005043778
Ralgapa2,-0.555599936,0.005050669
Tle1,-0.196109003,0.005060516
Adamts4,-0.481896439,0.005060552
Klhl5,-0.254728812,0.005066604
Cd28,-0.619802682,0.005082168
Pgd,0.234063223,0.005084551
Sipa1l2,-0.444118451,0.00509897
Pkd2l2,-0.61391205,0.005099661
3110079O15Rik,0.856920547,0.005103033
Gm5732,0.846408096,0.005103033
Trip4,0.18740702,0.005103033
Xkr8,-0.31034954,0.005114219
Acbd3,-0.29581073,0.005119767
Snx4,-0.220194638,0.005119767
Snord69,0.819215097,0.005123107
Rab13,0.4303803,0.005123107
Pus7l,0.296125739,0.005127534
Cox7a2l,0.391044227,0.005127534
Btbd18,0.829587056,0.005140535
Eaf1,-0.345109103,0.005146234
Ptpn6,0.352859439,0.005151636
Kptn,0.346705179,0.005171442
B130034C11Rik,-0.796539146,0.005193049
Gm11263,0.879047883,0.005205076
Nap1l4,0.145025636,0.005205779
Acad8,0.195734096,0.005207701
Trdmt1,0.367838695,0.005207905
Hba-a1,0.763806961,0.00521343
RP24-499N1.2,0.664649406,0.005220292
Mphosph9,-0.424969477,0.005220292
Gm9034,0.838961145,0.00522306
Zkscan17,-0.241653175,0.00522306
Pxylp1,-0.281447243,0.005228958
Mtpap,0.160389072,0.005229618
Pgbd5,-0.236186354,0.00523262
Plat,-0.347320146,0.005247985
Tollip,0.254850212,0.005251238
Samd9l,-0.592210336,0.005253464
Pigo,0.219263222,0.005258218
Invs,-0.532720128,0.005271102
Mmp10,-0.555397717,0.005272226
Thumpd1,0.135802112,0.00527561
4933439K11Rik,0.596093568,0.005286196
Hdgfrp2,0.243480883,0.005286196
Htra3,0.308064607,0.005303543
Amotl1,-0.434110009,0.005306726
Rap2a,-0.231697593,0.005307443
Pigf,0.280163043,0.005323607
Cd302,0.227977281,0.005328185
Ifnar2,0.181055914,0.005334909
Ldlrad4,-0.385829046,0.00533676
Coro7,0.206495213,0.005341411
Polr1c,0.330193207,0.005356652
Fam20c,-0.849966205,0.00536508
Gm26799,-0.864544566,0.005367582
Pdcd2l,0.258530226,0.005369289
Fam229b,0.737669273,0.005370321
Clasrp,0.343393644,0.00537545
Ctnnal1,-0.286951975,0.005378096
2010107E04Rik,0.464977949,0.005418055
Ash1l,-0.588743784,0.005421038
Pgk1-rs7,0.870897757,0.005439814
Gtf2h5,0.488754056,0.005442172
Ppapdc1b,0.275149989,0.005442172
Lztfl1,-0.270013438,0.005442172
1700001C19Rik,0.783617145,0.005446328
Bst2,0.485325229,0.005474065
Nxt2,-0.436532202,0.005485095
Sbds,0.266137155,0.005487117
G430095P16Rik,0.801744988,0.00548716
Dpy19l4,-0.543233129,0.005495185
Pde4d,-0.331087694,0.005496408
Gm5611,0.725630847,0.005504987
Pigp,0.341792083,0.005505668
Gm11427,-0.243831916,0.005507884
Gm20548,0.834724766,0.005509624
Fbxo41,-0.4208058,0.00551249
Gm9341,0.905244777,0.005513701
Gm11996,0.878386116,0.005519949
Cpsf1,0.157170764,0.005521837
Thoc7,0.325999493,0.005527342
Gm10785,-0.729458321,0.0055274
Zc2hc1a,-0.308371448,0.0055274
Alkbh1,0.255270175,0.005546168
Gm16580,0.394997789,0.005556722
Strip1,0.105769485,0.005556722
Rcor1,-0.513345572,0.005557741
Hoxc10,0.263522308,0.005569652
Zmat3,-0.326135847,0.005569652
Dhrs7,0.300133787,0.005570343
Cep85l,-0.655507759,0.005575375
Ssu72,0.307096456,0.005585118
Lsm8,0.286167014,0.005585118
Hiat1,-0.267916612,0.005602268
Rab11fip3,-0.418721781,0.005605123
Aebp2,-0.292880861,0.005605123
Pdhb,0.238123379,0.005606727
Zscan20,-0.480422915,0.005609232
Mrrf,0.32571335,0.005612676
Srrd,0.392457357,0.005619912
H2-D1,0.251633108,0.005628654
Rps2-ps5,0.561822828,0.005639984
Tmem204,-0.746136232,0.005650944
Bcl9l,-0.475386339,0.005655863
Fam13b,-0.536830142,0.005659383
Pstk,0.38579809,0.005659608
Dgkd,-0.281786044,0.005661605
Hnrnpa0,0.311377892,0.005661605
Rmi2,0.512225527,0.005671641
Cep85,-0.242536811,0.005684044
Zfp677,-0.60714228,0.00569509
Commd3,0.29472426,0.005709527
Pcnp,0.180180017,0.005711449
Rab11fip2,-0.449559888,0.005711449
Hspb7,-0.890839036,0.005711449
Rab3gap1,-0.289500543,0.005721463
Ttll3,-0.569558367,0.005721838
Paqr3,-0.486342911,0.005726903
Gm37062,-0.838342583,0.005735241
Ppip5k1,-0.321667357,0.005735241
Gm15501,0.646460294,0.00573556
Usp17ld,-0.809701221,0.00574222
Strn,-0.527988488,0.005745814
Sec22b,-0.245754711,0.005745814
Tubg2,0.324486723,0.005748325
Phf3,-0.400290155,0.005756944
Comt,0.246263115,0.005756944
BC067074,-0.715709608,0.00576825
Zfp772,-0.438925974,0.005776124
Mtg1,0.269246725,0.005778548
2210408F21Rik,-0.430099664,0.005787679
Ak4,-0.181413413,0.005789099
Zfp213,-0.687606532,0.005797703
Tesk2,-0.530633248,0.005797703
Plekhg5,0.228931641,0.005797703
Tnfrsf18,-0.802518013,0.005797703
Inca1,0.443256453,0.005801532
2010002M12Rik,-0.770036712,0.005804229
Zfp36l1,-0.512036167,0.005804861
Adprhl2,0.311117632,0.005804861
Zfp654,-0.364628352,0.005805268
Tti2,-0.266810853,0.005805268
Trim71,-0.555940104,0.005826157
Dcxr,0.483979154,0.005826654
Dll1,-0.628227783,0.005833251
Usp44,-0.76273376,0.00583443
Trim59,-0.354616472,0.005834738
Rpf1,0.178405126,0.005840211
Ccno,-0.37810865,0.005867942
Gm5559,0.797660579,0.005877948
Rab11a,0.303790061,0.005878912
Malsu1,0.425092917,0.005880404
Mill2,-0.50994143,0.005880404
Guca1a,0.560683878,0.005887197
Gm26202,0.797829255,0.005895625
Shisa5,0.207611795,0.005903971
Mrgprf,-0.538581107,0.005940972
Aen,0.213850378,0.005949983
Nudcd1,-0.290658464,0.005961172
Sec24d,-0.461926102,0.005961172
Zmynd19,-0.127415389,0.005966555
Rpl17-ps10,0.581221797,0.005973168
Gm10863,-0.488013677,0.005981002
Sipa1,-0.247028558,0.005993834
Jag1,-0.484877785,0.006001409
Scaper,0.181477299,0.006005065
Abcb7,-0.398694145,0.006011827
Abhd17c,-0.237491099,0.0060221
Mtap,0.11599523,0.006024947
Col5a2,-0.710513364,0.006027343
AW011738,0.347593302,0.006028652
Tm2d2,0.258481922,0.006037793
Mif4gd,0.27677548,0.006044925
Rps3a2,0.57065091,0.006048115
Gm9013,0.826428547,0.006048667
Ing1,-0.217473009,0.006056816
Nfkb1,-0.337064269,0.006069616
Tstd3,0.406492334,0.006081436
Pappa2,-0.637333631,0.006083849
Mmp19,-0.436812632,0.006084024
Rps19-ps6,0.500126815,0.006102615
Ssbp3,0.127764551,0.006110145
Rtca,0.190121109,0.006112838
Rpl36a-ps2,0.542612404,0.006117985
Hmgn5,0.484559355,0.006124201
Rin3,-0.255777935,0.006126158
4933427D06Rik,-0.875026549,0.006129078
Igsf3,-0.350880349,0.006145653
Rsph9,-0.868836747,0.006160543
Rnf111,-0.471469886,0.006163885
Prrx2,0.422507728,0.006169772
Gm26826,-0.860997273,0.00617718
Npas1,-0.756041702,0.006199006
Ap1g2,0.22497069,0.006206648
Zfp758,-0.510875446,0.006210169
Akap8,-0.173787237,0.00621981
Fbxo18,-0.204925221,0.006251566
Nuak2,-0.39410399,0.006255605
